ID,Last Name,Initials,g,h,h_m,h_s,Include
93494630d1d2332e75492e09c5d7c233,PAPANDRIA,D,10,5,1.85,0.238994535,
20fd2fc46e64f5c5592d8873f112c91e,YUNG,K,6,4,2.58333,0.191195628,
0f80d616669c3a5b1f63bc548f43df5e,MORALES URIBE,CH,3,4,2.16667,0.191195628,
5324aaba7951aa67962d4ae78e43ecdb,DANCEWICZ,M,7,4,2,0.191195628,
2efa7804fd5c4c3ea5f59133c5ddc464,THEVATHASAN,W,7,4,1.85,0.191195628,
e43e02343ce2fb50b8b449ceec92e6d6,SHRIME,MG,7,4,1.81667,0.191195628,
a3911708eca363dfee68621c23a827b3,BOHATYREWICZ,A,5,4,1.78333,0.191195628,
dc09968cff5baafa90c4ebe557b89329,LEMJABBAR-ALAOUI,H,5,4,1.43333,0.191195628,
62bc956f1ed1eb6baf1df4473bde183d,KUKREJA,J,6,4,1.4,0.191195628,
666cdef2925b1bd60275d76035810be6,BELLINO,M,5,4,1.36667,0.191195628,
227495fd33675fb066aa0820098126a8,YABLON,JS,5,4,1.31667,0.191195628,
fb9381a7937554f7b07908d390e50a90,DEMIR-DEVIREN,S,5,4,1.11667,0.191195628,
6eead6635b2eb2c92deff1132bb7d329,MERIANOS,DJ,4,4,1.08333,0.191195628,
1191fcc9491c4143a4190fb316b96738,FEINBERG,E,5,4,1,0.191195628,
6f6c18ca9fcccfe7c3c39815f4bbb069,FOGEL,B,4,3,2.5,0.143396721,
d0fbf5a98dc81a27673c25ee44e11f93,CHANG,J,5,3,1.58333,0.143396721,
7dd5a15dea82ed023168dda1b1e8e890,CARULLI,G,5,3,1.4,0.143396721,
4a3ca886ce93923235f9dec6f7cfd263,CAPASSO,R,6,3,1.33333,0.143396721,
2de0eef7020c370bd233de56f201da5f,AL-DOSSARI,GA,4,3,1.25,0.143396721,
f3a6463aedaa6abb9ba5b9dcfbd81ca4,AVEDIAN,R,7,3,1.08333,0.143396721,
287bf515279a055bcd7c1057c65fb7a8,SPEER,AL,5,3,0.9,0.143396721,
1a3afa5e9e3724160756c0ffd72196e2,DANIEL,SR,3,3,0.666667,0.143396721,
68407fb5883d96bc940b180eb00ff65f,KANG,Q,3,3,0.666667,0.143396721,
95c6d8fc90ca793d4966cbdfb2670697,CHERN,H,4,3,0.583333,0.143396721,
c96d575ede6f3dc4ebf7156f7216653a,RANDOLPH,BJW,2,2,2,0.095597814,
8f4114944d3c16652c934ed634145628,CAMPOS,BA,3,2,1.5,0.095597814,
2d7965e5f569c7f1fcc1b13ed313a93d,HARRIS,EJ,3,2,1.08333,0.095597814,
23d6cab0b485de2f356bc6f353a8403e,SHORT,SS,3,2,0.866667,0.095597814,
6db6777eb7fb26af64733e4794eea799,BERCHIOLLI,R,1,2,0.576923,0.095597814,
48bfbfc57741a437505f35eeb53c765a,GORODSKY,JB,1,1,1,0.047798907,
e645e66fa50a5791299e0e5ad3954cea,BONHAM,CA,1,1,0.5,0.047798907,
b2ce0ee1cbabc10d96b472c80ce98502,DEMIRJIAN,R,1,1,0.5,0.047798907,
600fe73346c9e90fd7729053457eb038,DAMICO,DF,0,1,0.45,0.047798907,
5249f973726153bbeda67d9adcae7d22,DEVIREN,SD,1,1,0.333333,0.047798907,
1f1f71ff6afd8b9f82066f5315832fc9,HARRAHER,CD,1,1,0.25,0.047798907,
e3d66553fbca96d4aa713f2f34c56168,AMIRTHARAJAH,M,1,1,0.2,0.047798907,
